"","clust","nh","land_in_acre","agri1c","profit_per_acre"
"110",4079,16,2,474583.333333333,237291.666666667
"111",4079,17,0.2295685,456000,1986335.2332746
"112",4079,18,3,563500,187833.333333333
"113",4079,19,3,255500,85166.6666666667
"114",4079,20,0.01836548,546575,29760997.2622551
"115",4079,4,2,465600,232800
"116",4079,5,8,123000,15375
"117",4079,6,1,80300,80300
"118",4079,8,1,621128.671561772,621128.671561772
"119",4079,9,6,2464900,410816.666666667
"120",4081,1,2,485790.843894739,242895.421947369
"121",4081,11,2,171351.190476191,85675.5952380953
"122",4081,12,2,3657754.52380952,1828877.26190476
"123",4081,13,11,211513.571428571,19228.5064935065
"124",4081,14,2,75810,37905
"125",4081,15,2,133923.714285714,66961.8571428571
"126",4081,18,2,31671.4285714286,15835.7142857143
"127",4081,19,4,745355,186338.75
"128",4081,2,13,715470,55036.1538461538
"129",4081,20,0.0125,195369.166666667,15629533.3333333
"130",4081,3,0.01875,-8151907.14285714,-434768380.952381
"131",4081,4,2,377195.714285714,188597.857142857
"132",4081,5,2,-78064.4047619048,-39032.2023809524
"133",4081,7,6,401283.333333333,66880.5555555555
"134",4081,9,3,417894.523809524,139298.174603175
"135",4084,11,38.76952828,4106060,105909.465040311
"136",4089,17,0.02754822,-126560.476190476,-4594143.51237489
"137",4089,2,2,-108764.55952381,-54382.2797619048
"138",4089,3,1,2768.78571428571,2768.78571428571
"139",4092,10,0.3673096,58119.5238095238,158230.342494516
"140",4092,17,0.11019288,-14501.9047619048,-131604.734914858
"141",4092,20,0.918274,195577.407142857,212983.714166858
"142",4092,9,0.6427918,0,0
"143",4099,11,1.6528932,739579.15,447445.213036148
"144",4102,3,0.03125,387800,12409600
"145",4105,13,0.01875,-5000,-266666.666666667
"146",4105,20,0.0459137,-12800,-278783.892389418
"147",4105,6,0.00625,-30000,-4800000
"148",4112,10,0.15,5633083.72619048,37553891.5079365
"149",4112,11,0.03125,297230.066666667,9511362.13333333
"150",4112,5,0.1,2919829.61852914,29198296.1852914
"151",4112,7,0.01875,1417252.47619048,75586798.7301587
"152",4115,13,0.00625,21399.3333333333,3423893.33333333
"153",4119,14,1,-3451796,-3451796
"154",4119,20,0.00625,424973.333333333,67995733.3333333
"155",4119,9,1,27119.5,27119.5
"156",4122,10,0.04375,170200,3890285.71428571
"157",4122,11,0.0625,1429652.38095238,22874438.0952381
"158",4122,14,0.025,153300,6132000
"159",4122,17,0.01875,69000,3680000
"160",4122,19,0.05,21291.6666666667,425833.333333333
"161",4122,2,0.0375,166222.496941138,4432599.91843033
"162",4122,20,0.03125,268806.071428571,8601794.28571429
"163",4122,4,0.0375,109946.25,2931900
"164",4122,5,0.0375,305747.023809524,8153253.96825397
"165",4122,7,0.01875,162014.285714286,8640761.9047619
"166",4122,9,0.03125,357728.571428571,11447314.2857143
"167",4125,14,0.00625,-150374.702380952,-24059952.3809524
"168",4132,1,0.01875,112583.333333333,6004444.44444444
"169",4132,11,0.0125,779926.785714286,62394142.8571429
"170",4132,12,0.025,-4262.5,-170500
"171",4132,13,0.00625,1744178.57142857,279068571.428571
"172",4132,14,0.00625,737433.928571429,117989428.571429
"173",4132,16,0.00625,891033.475018808,142565356.003009
"174",4132,17,0.0125,190147.619047619,15211809.5238095
"175",4132,18,0.00625,550117.857142857,88018857.1428571
"176",4132,19,0.00625,70137.5,11222000
"177",4132,2,6,211891.88192047,35315.3136534116
"178",4132,20,0.0625,5101.90476190476,81630.4761904762
"179",4132,3,0.01875,207078.571428571,11044190.4761905
"180",4132,4,0.025,136790.007253004,5471600.29012016
"181",4132,5,0.01875,675944.047619048,36050349.2063492
"182",4132,7,0.00625,149832.5,23973200
"183",4132,8,0.0125,107178.333333333,8574266.66666666
"184",4132,9,0.075,389336.904761905,5191158.73015873
"185",4134,11,0.00625,100957.142857143,16153142.8571429
"186",4134,12,0.0375,803257.142857143,21420190.4761905
"187",4134,13,0.0125,-48814.2857142857,-3905142.85714286
"188",4134,14,2,18000,9000
"189",4134,15,5,460916.666666667,92183.3333333333
"190",4134,16,2,780000,390000
"191",4134,17,0.0125,699142.857142857,55931428.5714286
"192",4134,18,2,-67285.7142857143,-33642.8571428571
"193",4134,2,4,140500,35125
