nh,clust,Amount_withdrawn_from_savings,Honey,land_in_acre,agri1c,profit_per_acre
10,4879,48000,0,3,698796.428571429,232932.142857143
10,4879,0,0,3,698796.428571429,232932.142857143
10,4879,0,0,3,698796.428571429,232932.142857143
10,4879,0,0,3,698796.428571429,232932.142857143
10,4879,0,0,3,698796.428571429,232932.142857143
10,4879,0,0,3,698796.428571429,232932.142857143
10,4882,16000,0,3,-29028.5714285714,-9676.19047619048
10,4885,0,0,6,1035585.95238095,172597.658730159
10,4905,0,0,5,598172.619047619,119634.523809524
10,4942,0,0,20,2663465.57784074,133173.278892037
10,4959,0,0,5,78351.4285714286,15670.2857142857
10,4959,0,0,5,78351.4285714286,15670.2857142857
10,4959,0,0,5,78351.4285714286,15670.2857142857
10,4959,0,0,5,78351.4285714286,15670.2857142857
10,4959,0,0,5,78351.4285714286,15670.2857142857
10,4959,0,0,5,78351.4285714286,15670.2857142857
10,4979,182500,0,5,866314.285714286,173262.857142857
10,4995,0,0,3,568992.857142857,189664.285714286
10,4995,0,0,3,568992.857142857,189664.285714286
10,4995,0,0,3,568992.857142857,189664.285714286
10,4995,80000,0,3,568992.857142857,189664.285714286
10,4995,0,0,3,568992.857142857,189664.285714286
10,4995,0,0,3,568992.857142857,189664.285714286
11,4002,0,0,0.075,37235.7142857143,496476.19047619
11,4005,0,1800,10,10304467,1030446.7
11,4055,0,0,0.1,9154034.52380952,91540345.2380952
11,4062,504000,0,5,630735.144307744,126147.028861549
11,4072,1400000,0,1,-1852217.85714286,-1852217.85714286
11,4084,0,0,38.76952828,4106060,105909.465040311
11,4199,0,0,0.01875,88861.25,4739266.66666667
11,4365,520000,0,35,5117165.41151563,146204.726043304
11,4372,0,0,12,1727310.95238095,143942.579365079
11,4389,40000,0,0.00625,2317121.19047619,370739390.476191
11,4402,80000,0,50,3021489.04761905,60429.7809523809
11,4405,250000,0,0.0625,1754182.14285714,28066914.2857143
11,4429,80000,0,20,2189819.97619048,109490.998809524
11,4433,110000,0,0.02754822,678207.142857143,24618909.7828151
11,4485,0,0,8,473812.619047619,59226.5773809524
11,4495,0,0,21,3998261.36904762,190393.398526077
11,4572,150000,0,4,359543.204761905,89885.8011904762
11,4599,0,0,0.1836548,1617985.13075285,8809925.63631796
11,4599,5e+05,0,0.1836548,1617985.13075285,8809925.63631796
11,4619,5e+05,0,15,3802470.14285714,253498.00952381
11,4635,250000,0,5,1424775.04761905,284955.00952381
11,4639,0,0,6,4870923.80952381,811820.634920635
11,4672,0,0,0.1,147853.333333333,1478533.33333333
11,4699,3470000,0,6,1050609.32380952,175101.553968254
11,4755,0,0,10,162520,16252
11,4790,0,0,30,576856.844862155,19228.5614954052
11,4790,0,0,30,576856.844862155,19228.5614954052
11,4790,0,0,30,576856.844862155,19228.5614954052
11,4790,0,0,30,576856.844862155,19228.5614954052
