nh,clust,Unit_of_plot_area,Land_owned_by_HH
9,4035,1.74980057982641e+100,1.74980057982641e+100
10,4035,1.74980057982641e+100,1.74980057982641e+100
11,4035,1.74980057982641e+100,1.74980057982641e+100
12,4035,1.74980057982641e+100,1.74980057982641e+100
13,4035,1.74980057982641e+100,1.74980057982641e+100
14,4035,1.74980057982641e+100,1.74980057982641e+100
15,4035,1.74980057982641e+100,1.74980057982641e+100
16,4035,1.74980057982641e+100,1.74980057982641e+100
17,4035,1.74980057982641e+100,1.74980057982641e+100
18,4035,1.74980057982641e+100,1.74980057982641e+100
19,4035,1.74980057982641e+100,1.74980057982641e+100
20,4035,1.74980057982641e+100,1.74980057982641e+100
2,4039,1.74980057982641e+100,1.74980057982641e+100
3,4039,1.74980057982641e+100,1.74980057982641e+100
4,4039,3,1
5,4039,2,1
6,4039,1.74980057982641e+100,1.74980057982641e+100
7,4039,2,1
8,4039,1.74980057982641e+100,1.74980057982641e+100
9,4039,2,1
10,4039,1.74980057982641e+100,1.74980057982641e+100
11,4039,1.74980057982641e+100,1.74980057982641e+100
12,4039,1.74980057982641e+100,1.74980057982641e+100
13,4039,1.74980057982641e+100,1.74980057982641e+100
14,4039,1.74980057982641e+100,1.74980057982641e+100
15,4039,1.74980057982641e+100,1.74980057982641e+100
16,4039,1.74980057982641e+100,1.74980057982641e+100
17,4039,1.74980057982641e+100,1.74980057982641e+100
18,4039,1.74980057982641e+100,1.74980057982641e+100
19,4039,1.74980057982641e+100,1.74980057982641e+100
20,4039,1.74980057982641e+100,1.74980057982641e+100
1,4042,1.74980057982641e+100,1.74980057982641e+100
2,4042,1,30
3,4042,1.74980057982641e+100,1.74980057982641e+100
4,4042,1.74980057982641e+100,1.74980057982641e+100
5,4042,1.74980057982641e+100,1.74980057982641e+100
6,4042,1.74980057982641e+100,1.74980057982641e+100
9,4042,1.74980057982641e+100,1.74980057982641e+100
10,4042,1,191
11,4042,1.74980057982641e+100,1.74980057982641e+100
13,4042,1.74980057982641e+100,1.74980057982641e+100
14,4042,1.74980057982641e+100,1.74980057982641e+100
15,4042,1.74980057982641e+100,1.74980057982641e+100
16,4042,2,10
17,4042,1.74980057982641e+100,1.74980057982641e+100
18,4042,1,20
19,4042,1.74980057982641e+100,1.74980057982641e+100
20,4042,1.74980057982641e+100,1.74980057982641e+100
21,4042,1.74980057982641e+100,1.74980057982641e+100
1,4044,1,5
2,4044,1.74980057982641e+100,1.74980057982641e+100
4,4044,1.74980057982641e+100,1.74980057982641e+100
5,4044,1,6
6,4044,1.74980057982641e+100,1.74980057982641e+100
8,4044,1.74980057982641e+100,1.74980057982641e+100
9,4044,1.74980057982641e+100,1.74980057982641e+100
10,4044,1.74980057982641e+100,1.74980057982641e+100
11,4044,1,4
12,4044,1,15
13,4044,1.74980057982641e+100,1.74980057982641e+100
14,4044,1.74980057982641e+100,1.74980057982641e+100
15,4044,1,2
16,4044,1,1
17,4044,1,6
18,4044,1,4
19,4044,1,12
20,4044,1,1
1,4049,1.74980057982641e+100,1.74980057982641e+100
2,4049,1.74980057982641e+100,1.74980057982641e+100
3,4049,1.74980057982641e+100,1.74980057982641e+100
4,4049,1,10
5,4049,2,10
6,4049,1.74980057982641e+100,1.74980057982641e+100
7,4049,1.74980057982641e+100,1.74980057982641e+100
8,4049,1.74980057982641e+100,1.74980057982641e+100
9,4049,2,1
10,4049,4,110
11,4049,1.74980057982641e+100,1.74980057982641e+100
12,4049,1.74980057982641e+100,1.74980057982641e+100
13,4049,1.74980057982641e+100,1.74980057982641e+100
14,4049,1.74980057982641e+100,1.74980057982641e+100
15,4049,1.74980057982641e+100,1.74980057982641e+100
16,4049,2,1
17,4049,2,3
18,4049,1.74980057982641e+100,1.74980057982641e+100
19,4049,1.74980057982641e+100,1.74980057982641e+100
20,4049,1.74980057982641e+100,1.74980057982641e+100
18,4052,1.74980057982641e+100,1.74980057982641e+100
1,4055,1.74980057982641e+100,1.74980057982641e+100
2,4055,2,2
3,4055,1.74980057982641e+100,1.74980057982641e+100
4,4055,1.74980057982641e+100,1.74980057982641e+100
5,4055,1.74980057982641e+100,1.74980057982641e+100
6,4055,1.74980057982641e+100,1.74980057982641e+100
8,4055,1.74980057982641e+100,1.74980057982641e+100
9,4055,1.74980057982641e+100,1.74980057982641e+100
10,4055,1,1
11,4055,2,16
12,4055,2,3
13,4055,2,1
14,4055,1.74980057982641e+100,1.74980057982641e+100
15,4055,1.74980057982641e+100,1.74980057982641e+100
18,4055,2,1
19,4055,1.74980057982641e+100,1.74980057982641e+100
20,4055,1.74980057982641e+100,1.74980057982641e+100
25,4055,2,3
1,4059,1,3
2,4059,1,4
3,4059,1,4
7,4059,1,4
8,4059,1,6
9,4059,1,10
10,4059,1,4
11,4059,1,3
14,4059,1,2
15,4059,1.74980057982641e+100,1.74980057982641e+100
16,4059,1,2
1,4062,1.74980057982641e+100,1.74980057982641e+100
2,4062,1.74980057982641e+100,1.74980057982641e+100
3,4062,1,4
6,4062,1,1
7,4062,1,2
8,4062,1,5
10,4062,1,3
11,4062,1,5
12,4062,1,3
14,4062,2,5
15,4062,1.74980057982641e+100,1.74980057982641e+100
16,4062,1,5
17,4062,1,16
19,4062,1.74980057982641e+100,1.74980057982641e+100
20,4062,1,1
1,4065,1,3
2,4065,1,2
3,4065,1,63
5,4065,1.74980057982641e+100,1.74980057982641e+100
6,4065,1.74980057982641e+100,1.74980057982641e+100
7,4065,2,9
8,4065,1.74980057982641e+100,1.74980057982641e+100
9,4065,1,200
10,4065,1.74980057982641e+100,1.74980057982641e+100
11,4065,1.74980057982641e+100,1.74980057982641e+100
13,4065,1.74980057982641e+100,1.74980057982641e+100
14,4065,1,250
15,4065,1,2
16,4065,1.74980057982641e+100,1.74980057982641e+100
17,4065,1.74980057982641e+100,1.74980057982641e+100
20,4065,1.74980057982641e+100,1.74980057982641e+100
21,4065,1.74980057982641e+100,1.74980057982641e+100
23,4065,1.74980057982641e+100,1.74980057982641e+100
1,4069,1.74980057982641e+100,1.74980057982641e+100
2,4069,1,35
3,4069,3,25
4,4069,1.74980057982641e+100,1.74980057982641e+100
5,4069,1.74980057982641e+100,1.74980057982641e+100
6,4069,1.74980057982641e+100,1.74980057982641e+100
7,4069,1.74980057982641e+100,1.74980057982641e+100
8,4069,1.74980057982641e+100,1.74980057982641e+100
9,4069,3,18
10,4069,3,40
11,4069,1.74980057982641e+100,1.74980057982641e+100
12,4069,1.74980057982641e+100,1.74980057982641e+100
13,4069,1.74980057982641e+100,1.74980057982641e+100
14,4069,1.74980057982641e+100,1.74980057982641e+100
15,4069,1.74980057982641e+100,1.74980057982641e+100
16,4069,1,1
17,4069,1.74980057982641e+100,1.74980057982641e+100
18,4069,1.74980057982641e+100,1.74980057982641e+100
1,4072,1.74980057982641e+100,1.74980057982641e+100
2,4072,1.74980057982641e+100,1.74980057982641e+100
3,4072,1.74980057982641e+100,1.74980057982641e+100
4,4072,1,1
5,4072,1.74980057982641e+100,1.74980057982641e+100
8,4072,1.74980057982641e+100,1.74980057982641e+100
9,4072,1.74980057982641e+100,1.74980057982641e+100
10,4072,1.74980057982641e+100,1.74980057982641e+100
11,4072,1,1
12,4072,1.74980057982641e+100,1.74980057982641e+100
14,4072,1.74980057982641e+100,1.74980057982641e+100
15,4072,1.74980057982641e+100,1.74980057982641e+100
16,4072,1.74980057982641e+100,1.74980057982641e+100
17,4072,1.74980057982641e+100,1.74980057982641e+100
18,4072,1.74980057982641e+100,1.74980057982641e+100
19,4072,1.74980057982641e+100,1.74980057982641e+100
20,4072,1.74980057982641e+100,1.74980057982641e+100
1,4075,1.74980057982641e+100,1.74980057982641e+100
2,4075,1.74980057982641e+100,1.74980057982641e+100
3,4075,1.74980057982641e+100,1.74980057982641e+100
4,4075,1.74980057982641e+100,1.74980057982641e+100
5,4075,3,4
6,4075,3,2
7,4075,1.74980057982641e+100,1.74980057982641e+100
8,4075,1.74980057982641e+100,1.74980057982641e+100
9,4075,3,4
10,4075,3,6
11,4075,3,1
12,4075,3,1
13,4075,3,1
14,4075,3,1
15,4075,3,3
16,4075,1.74980057982641e+100,1.74980057982641e+100
18,4075,3,2
19,4075,3,3
20,4075,3,2
22,4075,1.74980057982641e+100,1.74980057982641e+100
1,4079,1,13
2,4079,1.74980057982641e+100,1.74980057982641e+100
4,4079,1,2
5,4079,1,8
6,4079,1,1
7,4079,1.74980057982641e+100,1.74980057982641e+100
8,4079,1,1
9,4079,1,6
10,4079,1,2
11,4079,1.74980057982641e+100,1.74980057982641e+100
12,4079,1,28
13,4079,1,15
14,4079,1,1
15,4079,2,20
16,4079,1,2
17,4079,3,25
18,4079,1,3
19,4079,1,3
20,4079,3,2
1,4081,1,2
2,4081,1,13
3,4081,2,3
4,4081,1,2
5,4081,1,2
6,4081,1.74980057982641e+100,1.74980057982641e+100
7,4081,1,6
8,4081,1.74980057982641e+100,1.74980057982641e+100
9,4081,1,3
10,4081,1.74980057982641e+100,1.74980057982641e+100
11,4081,1,2
12,4081,1,2
13,4081,1,11
14,4081,1,2
15,4081,1,2
16,4081,1.74980057982641e+100,1.74980057982641e+100
18,4081,1,2
19,4081,1,4
20,4081,2,2
3,4084,1.74980057982641e+100,1.74980057982641e+100
11,4084,3,4222
14,4084,1.74980057982641e+100,1.74980057982641e+100
2,4089,1,2
3,4089,1,1
5,4089,1.74980057982641e+100,1.74980057982641e+100
6,4089,1.74980057982641e+100,1.74980057982641e+100
7,4089,1.74980057982641e+100,1.74980057982641e+100
9,4089,1.74980057982641e+100,1.74980057982641e+100
10,4089,1.74980057982641e+100,1.74980057982641e+100
12,4089,1.74980057982641e+100,1.74980057982641e+100
13,4089,1.74980057982641e+100,1.74980057982641e+100
14,4089,1.74980057982641e+100,1.74980057982641e+100
15,4089,1.74980057982641e+100,1.74980057982641e+100
16,4089,1.74980057982641e+100,1.74980057982641e+100
17,4089,3,3
18,4089,1.74980057982641e+100,1.74980057982641e+100
19,4089,1.74980057982641e+100,1.74980057982641e+100
1,4092,1.74980057982641e+100,1.74980057982641e+100
2,4092,1.74980057982641e+100,1.74980057982641e+100
3,4092,1.74980057982641e+100,1.74980057982641e+100
4,4092,1.74980057982641e+100,1.74980057982641e+100
5,4092,1.74980057982641e+100,1.74980057982641e+100
6,4092,1.74980057982641e+100,1.74980057982641e+100
7,4092,1.74980057982641e+100,1.74980057982641e+100
8,4092,1.74980057982641e+100,1.74980057982641e+100
9,4092,3,70
10,4092,3,40
11,4092,1.74980057982641e+100,1.74980057982641e+100
12,4092,1.74980057982641e+100,1.74980057982641e+100
13,4092,1.74980057982641e+100,1.74980057982641e+100
14,4092,1.74980057982641e+100,1.74980057982641e+100
15,4092,1.74980057982641e+100,1.74980057982641e+100
16,4092,1.74980057982641e+100,1.74980057982641e+100
17,4092,3,12
18,4092,1.74980057982641e+100,1.74980057982641e+100
19,4092,1.74980057982641e+100,1.74980057982641e+100
20,4092,3,100
1,4095,1.74980057982641e+100,1.74980057982641e+100
2,4095,1.74980057982641e+100,1.74980057982641e+100
3,4095,1.74980057982641e+100,1.74980057982641e+100
4,4095,1.74980057982641e+100,1.74980057982641e+100
5,4095,1.74980057982641e+100,1.74980057982641e+100
6,4095,1.74980057982641e+100,1.74980057982641e+100
7,4095,1.74980057982641e+100,1.74980057982641e+100
8,4095,1.74980057982641e+100,1.74980057982641e+100
9,4095,1.74980057982641e+100,1.74980057982641e+100
10,4095,1.74980057982641e+100,1.74980057982641e+100
11,4095,1.74980057982641e+100,1.74980057982641e+100
12,4095,1.74980057982641e+100,1.74980057982641e+100
13,4095,1.74980057982641e+100,1.74980057982641e+100
14,4095,1.74980057982641e+100,1.74980057982641e+100
15,4095,1.74980057982641e+100,1.74980057982641e+100
16,4095,1.74980057982641e+100,1.74980057982641e+100
17,4095,1.74980057982641e+100,1.74980057982641e+100
18,4095,1.74980057982641e+100,1.74980057982641e+100
19,4095,1.74980057982641e+100,1.74980057982641e+100
20,4095,1.74980057982641e+100,1.74980057982641e+100
1,4099,1.74980057982641e+100,1.74980057982641e+100
2,4099,1.74980057982641e+100,1.74980057982641e+100
3,4099,1.74980057982641e+100,1.74980057982641e+100
4,4099,1.74980057982641e+100,1.74980057982641e+100
5,4099,1.74980057982641e+100,1.74980057982641e+100
6,4099,1.74980057982641e+100,1.74980057982641e+100
7,4099,1.74980057982641e+100,1.74980057982641e+100
8,4099,1.74980057982641e+100,1.74980057982641e+100
9,4099,1.74980057982641e+100,1.74980057982641e+100
10,4099,1.74980057982641e+100,1.74980057982641e+100
11,4099,3,180
12,4099,1.74980057982641e+100,1.74980057982641e+100
13,4099,1.74980057982641e+100,1.74980057982641e+100
14,4099,1.74980057982641e+100,1.74980057982641e+100
15,4099,1.74980057982641e+100,1.74980057982641e+100
16,4099,1.74980057982641e+100,1.74980057982641e+100
17,4099,1.74980057982641e+100,1.74980057982641e+100
18,4099,1.74980057982641e+100,1.74980057982641e+100
19,4099,1.74980057982641e+100,1.74980057982641e+100
20,4099,1.74980057982641e+100,1.74980057982641e+100
3,4102,2,5
4,4102,1.74980057982641e+100,1.74980057982641e+100
6,4102,1.74980057982641e+100,1.74980057982641e+100
12,4102,1.74980057982641e+100,1.74980057982641e+100
17,4102,1.74980057982641e+100,1.74980057982641e+100
2,4105,1.74980057982641e+100,1.74980057982641e+100
6,4105,2,1
10,4105,1.74980057982641e+100,1.74980057982641e+100
13,4105,2,3
18,4105,1.74980057982641e+100,1.74980057982641e+100
20,4105,3,5
21,4105,1.74980057982641e+100,1.74980057982641e+100
22,4105,1.74980057982641e+100,1.74980057982641e+100
19,4109,1.74980057982641e+100,1.74980057982641e+100
20,4109,1.74980057982641e+100,1.74980057982641e+100
2,4112,1.74980057982641e+100,1.74980057982641e+100
3,4112,1.74980057982641e+100,1.74980057982641e+100
4,4112,1.74980057982641e+100,1.74980057982641e+100
5,4112,2,16
6,4112,1.74980057982641e+100,1.74980057982641e+100
7,4112,2,3
9,4112,1.74980057982641e+100,1.74980057982641e+100
10,4112,2,24
11,4112,2,5
12,4112,1.74980057982641e+100,1.74980057982641e+100
13,4112,1.74980057982641e+100,1.74980057982641e+100
14,4112,1.74980057982641e+100,1.74980057982641e+100
15,4112,1.74980057982641e+100,1.74980057982641e+100
16,4112,1.74980057982641e+100,1.74980057982641e+100
17,4112,1.74980057982641e+100,1.74980057982641e+100
19,4112,1.74980057982641e+100,1.74980057982641e+100
20,4112,1.74980057982641e+100,1.74980057982641e+100
2,4115,1.74980057982641e+100,1.74980057982641e+100
3,4115,1.74980057982641e+100,1.74980057982641e+100
5,4115,1.74980057982641e+100,1.74980057982641e+100
6,4115,1.74980057982641e+100,1.74980057982641e+100
7,4115,1.74980057982641e+100,1.74980057982641e+100
9,4115,1.74980057982641e+100,1.74980057982641e+100
11,4115,1.74980057982641e+100,1.74980057982641e+100
12,4115,1.74980057982641e+100,1.74980057982641e+100
13,4115,2,1
14,4115,1.74980057982641e+100,1.74980057982641e+100
15,4115,1.74980057982641e+100,1.74980057982641e+100
16,4115,1.74980057982641e+100,1.74980057982641e+100
17,4115,1.74980057982641e+100,1.74980057982641e+100
18,4115,1.74980057982641e+100,1.74980057982641e+100
19,4115,1.74980057982641e+100,1.74980057982641e+100
20,4115,1.74980057982641e+100,1.74980057982641e+100
1,4119,1.74980057982641e+100,1.74980057982641e+100
3,4119,1.74980057982641e+100,1.74980057982641e+100
4,4119,1.74980057982641e+100,1.74980057982641e+100
5,4119,1.74980057982641e+100,1.74980057982641e+100
6,4119,1.74980057982641e+100,1.74980057982641e+100
7,4119,1.74980057982641e+100,1.74980057982641e+100
8,4119,1.74980057982641e+100,1.74980057982641e+100
9,4119,1,1
12,4119,1.74980057982641e+100,1.74980057982641e+100
13,4119,1.74980057982641e+100,1.74980057982641e+100
14,4119,1,1
15,4119,1.74980057982641e+100,1.74980057982641e+100
16,4119,1.74980057982641e+100,1.74980057982641e+100
17,4119,1.74980057982641e+100,1.74980057982641e+100
18,4119,1.74980057982641e+100,1.74980057982641e+100
19,4119,1.74980057982641e+100,1.74980057982641e+100
20,4119,2,1
2,4122,2,6
4,4122,2,6
5,4122,2,6
7,4122,2,3
9,4122,2,5
10,4122,2,7
11,4122,2,10
14,4122,2,4
17,4122,2,3
19,4122,2,8
20,4122,2,5
1,4125,1.74980057982641e+100,1.74980057982641e+100
2,4125,1.74980057982641e+100,1.74980057982641e+100
3,4125,1.74980057982641e+100,1.74980057982641e+100
4,4125,1.74980057982641e+100,1.74980057982641e+100
5,4125,1.74980057982641e+100,1.74980057982641e+100
6,4125,1.74980057982641e+100,1.74980057982641e+100
8,4125,1.74980057982641e+100,1.74980057982641e+100
9,4125,1.74980057982641e+100,1.74980057982641e+100
10,4125,1.74980057982641e+100,1.74980057982641e+100
11,4125,1.74980057982641e+100,1.74980057982641e+100
12,4125,8,2
13,4125,1.74980057982641e+100,1.74980057982641e+100
14,4125,2,1
16,4125,1.74980057982641e+100,1.74980057982641e+100
17,4125,1.74980057982641e+100,1.74980057982641e+100
19,4125,1.74980057982641e+100,1.74980057982641e+100
20,4125,1.74980057982641e+100,1.74980057982641e+100
1,4129,1.74980057982641e+100,1.74980057982641e+100
2,4129,1.74980057982641e+100,1.74980057982641e+100
3,4129,1.74980057982641e+100,1.74980057982641e+100
4,4129,1.74980057982641e+100,1.74980057982641e+100
5,4129,1.74980057982641e+100,1.74980057982641e+100
6,4129,1.74980057982641e+100,1.74980057982641e+100
7,4129,1.74980057982641e+100,1.74980057982641e+100
8,4129,1.74980057982641e+100,1.74980057982641e+100
9,4129,1.74980057982641e+100,1.74980057982641e+100
10,4129,1.74980057982641e+100,1.74980057982641e+100
11,4129,1.74980057982641e+100,1.74980057982641e+100
12,4129,1.74980057982641e+100,1.74980057982641e+100
13,4129,1.74980057982641e+100,1.74980057982641e+100
14,4129,1.74980057982641e+100,1.74980057982641e+100
15,4129,1.74980057982641e+100,1.74980057982641e+100
16,4129,1.74980057982641e+100,1.74980057982641e+100
17,4129,1.74980057982641e+100,1.74980057982641e+100
18,4129,1.74980057982641e+100,1.74980057982641e+100
19,4129,1.74980057982641e+100,1.74980057982641e+100
20,4129,1.74980057982641e+100,1.74980057982641e+100
1,4132,2,3
2,4132,1,6
3,4132,2,3
4,4132,2,4
5,4132,2,3
6,4132,1.74980057982641e+100,1.74980057982641e+100
7,4132,2,1
8,4132,2,2
9,4132,2,12
10,4132,1.74980057982641e+100,1.74980057982641e+100
11,4132,2,2
12,4132,2,4
13,4132,2,1
14,4132,2,1
16,4132,2,1
17,4132,2,2
18,4132,2,1
19,4132,2,1
20,4132,2,10
1,4134,1.74980057982641e+100,1.74980057982641e+100
2,4134,1,4
4,4134,2,2
5,4134,2,5
6,4134,2,7
7,4134,2,4
8,4134,2,3
9,4134,2,3
11,4134,2,1
12,4134,2,6
13,4134,2,2
14,4134,1,2
15,4134,1,5
16,4134,1,2
17,4134,2,2
18,4134,1,2
20,4134,2,1
2,4139,1.74980057982641e+100,1.74980057982641e+100
3,4139,2,1
4,4139,2,27
5,4139,1.74980057982641e+100,1.74980057982641e+100
6,4139,2,4
7,4139,1.74980057982641e+100,1.74980057982641e+100
8,4139,1.74980057982641e+100,1.74980057982641e+100
10,4139,1.74980057982641e+100,1.74980057982641e+100
11,4139,1.74980057982641e+100,1.74980057982641e+100
13,4139,1.74980057982641e+100,1.74980057982641e+100
15,4139,1.74980057982641e+100,1.74980057982641e+100
16,4139,1,1
17,4139,1.74980057982641e+100,1.74980057982641e+100
18,4139,1.74980057982641e+100,1.74980057982641e+100
20,4139,2,2
10,4142,1.74980057982641e+100,1.74980057982641e+100
20,4142,1.74980057982641e+100,1.74980057982641e+100
1,4149,1,24
3,4149,1,8
5,4149,1,2
7,4149,3,4
8,4149,1.74980057982641e+100,1.74980057982641e+100
9,4149,1.74980057982641e+100,1.74980057982641e+100
