nh,clust,Does_enterprise3_own_item
6,4112,1.74980057982641e+100
6,4112,1
8,4112,1
12,4112,2
15,4112,1
19,4112,1
20,4112,2
20,4112,1
1,4115,1
4,4115,1.74980057982641e+100
4,4115,1.74980057982641e+100
9,4115,1
15,4115,1.74980057982641e+100
17,4115,1.74980057982641e+100
19,4115,2
4,4119,1.74980057982641e+100
8,4119,1.74980057982641e+100
8,4119,1
11,4119,1.74980057982641e+100
15,4119,1
17,4119,2
17,4119,2
1,4122,1.74980057982641e+100
5,4122,1.74980057982641e+100
6,4122,1.74980057982641e+100
8,4122,1.74980057982641e+100
12,4122,1.74980057982641e+100
15,4122,1.74980057982641e+100
16,4122,2
6,4125,1
6,4125,2
7,4125,2
8,4125,2
11,4125,1
14,4125,1
17,4125,1
18,4125,2
1,4129,1
1,4129,1.74980057982641e+100
3,4129,1
3,4129,1.74980057982641e+100
7,4129,1
9,4129,1
15,4129,1
16,4129,1
12,4132,1.74980057982641e+100
12,4132,1.74980057982641e+100
15,4132,1.74980057982641e+100
10,4134,2
2,4139,1.74980057982641e+100
2,4139,1.74980057982641e+100
2,4139,1.74980057982641e+100
3,4139,1.74980057982641e+100
3,4139,1
6,4139,1.74980057982641e+100
7,4139,2
7,4139,1
9,4139,1
10,4139,1
10,4139,2
11,4139,1.74980057982641e+100
12,4139,1
12,4139,1.74980057982641e+100
13,4139,1.74980057982641e+100
14,4139,1
15,4139,1
16,4139,2
16,4139,2
16,4139,1
17,4139,2
17,4139,1
17,4139,1.74980057982641e+100
17,4139,2
18,4139,1.74980057982641e+100
19,4139,1
19,4139,1
20,4139,1
20,4139,1
20,4139,2
20,4139,1
5,4142,2
6,4142,1
6,4142,2
6,4142,2
8,4142,1.74980057982641e+100
9,4142,1.74980057982641e+100
11,4142,2
17,4142,1.74980057982641e+100
18,4142,1.74980057982641e+100
22,4142,2
8,4152,1.74980057982641e+100
10,4152,1.74980057982641e+100
10,4152,1.74980057982641e+100
19,4152,2
1,4155,2
2,4155,2
2,4155,2
3,4155,2
5,4155,2
5,4155,2
6,4155,2
6,4155,2
7,4155,2
8,4155,2
9,4155,2
10,4155,2
12,4155,2
12,4155,2
13,4155,1.74980057982641e+100
14,4155,2
15,4155,2
17,4155,2
18,4155,2
5,4159,1.74980057982641e+100
5,4159,1.74980057982641e+100
5,4159,1.74980057982641e+100
6,4159,1.74980057982641e+100
7,4159,1.74980057982641e+100
7,4159,1.74980057982641e+100
7,4159,1.74980057982641e+100
8,4159,1.74980057982641e+100
8,4159,1.74980057982641e+100
10,4159,1.74980057982641e+100
10,4159,1.74980057982641e+100
11,4159,1.74980057982641e+100
12,4159,1.74980057982641e+100
13,4159,1.74980057982641e+100
14,4159,1.74980057982641e+100
14,4159,1.74980057982641e+100
15,4159,1.74980057982641e+100
17,4159,1.74980057982641e+100
17,4159,1.74980057982641e+100
17,4159,1.74980057982641e+100
19,4159,1.74980057982641e+100
4,4162,2
5,4162,1.74980057982641e+100
6,4162,1.74980057982641e+100
8,4162,1.74980057982641e+100
14,4162,1.74980057982641e+100
20,4162,1.74980057982641e+100
20,4162,1.74980057982641e+100
20,4162,1.74980057982641e+100
20,4162,1.74980057982641e+100
2,4165,1.74980057982641e+100
3,4165,2
3,4165,1.74980057982641e+100
6,4165,1.74980057982641e+100
16,4165,1.74980057982641e+100
16,4165,1
17,4165,1
19,4165,1.74980057982641e+100
20,4165,1
5,4169,2
8,4169,1.74980057982641e+100
13,4169,1.74980057982641e+100
13,4169,1.74980057982641e+100
17,4169,1.74980057982641e+100
17,4169,1
18,4169,1.74980057982641e+100
20,4169,1.74980057982641e+100
3,4172,1
18,4172,2
19,4172,2
1,4175,1
1,4175,1
2,4175,1.74980057982641e+100
2,4175,1.74980057982641e+100
2,4175,1.74980057982641e+100
4,4175,1
6,4175,1.74980057982641e+100
9,4175,2
12,4175,1
13,4175,1
14,4175,1.74980057982641e+100
16,4175,2
17,4175,2
18,4175,1
20,4175,1.74980057982641e+100
3,4179,2
4,4179,2
4,4179,1.74980057982641e+100
5,4179,1.74980057982641e+100
6,4179,1.74980057982641e+100
6,4179,1.74980057982641e+100
8,4179,2
8,4179,1
9,4179,1.74980057982641e+100
9,4179,1.74980057982641e+100
9,4179,1.74980057982641e+100
11,4179,2
12,4179,1.74980057982641e+100
13,4179,1.74980057982641e+100
13,4179,1.74980057982641e+100
15,4179,1.74980057982641e+100
16,4179,1.74980057982641e+100
16,4179,1.74980057982641e+100
17,4179,1.74980057982641e+100
17,4179,1.74980057982641e+100
18,4179,1
18,4179,2
18,4179,2
20,4179,1.74980057982641e+100
20,4179,1.74980057982641e+100
1,4182,1.74980057982641e+100
2,4182,1
3,4182,1.74980057982641e+100
4,4182,1
6,4182,1.74980057982641e+100
6,4182,1
8,4182,1
10,4182,2
10,4182,2
14,4182,1
15,4182,1.74980057982641e+100
16,4182,1.74980057982641e+100
17,4182,1.74980057982641e+100
20,4182,1.74980057982641e+100
20,4182,1
6,4185,1
10,4185,1
14,4185,1.74980057982641e+100
16,4185,1.74980057982641e+100
18,4185,1
1,4189,1
3,4189,1.74980057982641e+100
6,4189,1
7,4189,1
8,4189,2
8,4189,1.74980057982641e+100
9,4189,1.74980057982641e+100
9,4189,1
10,4189,1
10,4189,1.74980057982641e+100
11,4189,2
13,4189,2
15,4189,2
16,4189,2
19,4189,1.74980057982641e+100
19,4189,2
20,4189,2
3,4192,1
3,4192,1
4,4192,1.74980057982641e+100
7,4192,1.74980057982641e+100
10,4192,1.74980057982641e+100
10,4192,1
14,4192,1
15,4192,1.74980057982641e+100
16,4192,1.74980057982641e+100
17,4192,1
17,4192,2
18,4192,2
18,4192,1.74980057982641e+100
18,4192,1
19,4192,1
19,4192,1.74980057982641e+100
2,4195,1.74980057982641e+100
3,4195,1.74980057982641e+100
8,4195,1.74980057982641e+100
9,4195,1.74980057982641e+100
10,4195,1.74980057982641e+100
11,4195,1.74980057982641e+100
12,4195,1.74980057982641e+100
16,4195,1.74980057982641e+100
17,4195,1.74980057982641e+100
17,4195,1
24,4195,1.74980057982641e+100
2,4199,1.74980057982641e+100
2,4199,1.74980057982641e+100
