nh,clust,Amount_spend_on_self_help_project
9,4112,1e+05
10,4112,0
11,4112,0
12,4112,0
13,4112,0
14,4112,0
15,4112,0
16,4112,8000
17,4112,20000
18,4112,0
19,4112,0
20,4112,0
1,4115,0
2,4115,0
3,4115,0
4,4115,0
5,4115,0
6,4115,0
7,4115,0
8,4115,0
9,4115,0
10,4115,0
11,4115,0
12,4115,0
13,4115,0
14,4115,0
15,4115,0
16,4115,0
17,4115,0
18,4115,0
19,4115,0
20,4115,0
1,4119,0
2,4119,0
3,4119,0
4,4119,0
5,4119,0
6,4119,0
7,4119,0
8,4119,0
9,4119,0
10,4119,0
11,4119,0
12,4119,0
13,4119,0
14,4119,0
15,4119,20000
16,4119,0
17,4119,0
18,4119,0
19,4119,1000
20,4119,0
1,4122,0
2,4122,0
3,4122,0
4,4122,0
5,4122,0
6,4122,0
7,4122,0
8,4122,0
9,4122,0
10,4122,0
11,4122,0
12,4122,0
13,4122,0
14,4122,0
15,4122,0
16,4122,0
17,4122,0
18,4122,0
19,4122,0
20,4122,0
1,4125,0
2,4125,0
3,4125,2000
4,4125,1000
5,4125,0
6,4125,0
7,4125,0
8,4125,0
9,4125,0
10,4125,0
11,4125,2000
12,4125,1000
13,4125,4000
14,4125,6000
15,4125,1000
16,4125,1000
17,4125,0
18,4125,1000
19,4125,1500
20,4125,1500
1,4129,4000
2,4129,4000
3,4129,16000
4,4129,0
5,4129,0
6,4129,1000
7,4129,1500
8,4129,2000
9,4129,3500
10,4129,10000
11,4129,0
12,4129,0
13,4129,4000
14,4129,600
15,4129,1000
16,4129,3000
17,4129,15000
18,4129,1000
19,4129,2000
20,4129,2000
1,4132,0
2,4132,5000
3,4132,0
4,4132,0
5,4132,0
6,4132,0
7,4132,0
8,4132,0
9,4132,0
10,4132,0
11,4132,0
12,4132,0
13,4132,0
14,4132,0
15,4132,0
16,4132,0
17,4132,0
18,4132,0
19,4132,1000
20,4132,0
1,4134,8000
2,4134,0
3,4134,0
4,4134,0
5,4134,4000
6,4134,0
7,4134,0
8,4134,0
9,4134,0
10,4134,12000
11,4134,0
12,4134,0
13,4134,0
14,4134,0
15,4134,10000
16,4134,10000
17,4134,0
18,4134,0
19,4134,0
20,4134,0
1,4139,0
2,4139,1000
3,4139,2000
4,4139,10000
5,4139,0
6,4139,2000
7,4139,0
8,4139,2000
9,4139,2000
10,4139,4000
11,4139,2000
12,4139,10000
13,4139,6000
14,4139,4000
15,4139,2000
16,4139,7000
17,4139,15000
18,4139,0
19,4139,65000
20,4139,2000
2,4142,0
3,4142,0
5,4142,140000
6,4142,0
7,4142,50000
8,4142,40000
9,4142,0
10,4142,0
11,4142,40000
12,4142,0
13,4142,0
14,4142,50000
15,4142,50000
16,4142,0
17,4142,60000
18,4142,20000
19,4142,0
20,4142,8000
21,4142,0
22,4142,60000
1,4145,0
2,4145,60000
3,4145,0
4,4145,6000
5,4145,0
6,4145,0
7,4145,0
8,4145,30000
