nh,clust,Source_of_item
3,4035,1.74980057982641e+100
4,4035,1.74980057982641e+100
6,4035,1.74980057982641e+100
8,4035,1.74980057982641e+100
8,4035,1.74980057982641e+100
9,4035,1.74980057982641e+100
9,4035,1.74980057982641e+100
9,4035,1.74980057982641e+100
10,4035,1.74980057982641e+100
10,4035,1.74980057982641e+100
11,4035,1.74980057982641e+100
11,4035,1.74980057982641e+100
13,4035,1.74980057982641e+100
13,4035,1.74980057982641e+100
15,4035,1.74980057982641e+100
15,4035,1.74980057982641e+100
16,4035,1.74980057982641e+100
16,4035,1.74980057982641e+100
17,4035,1
17,4035,1.74980057982641e+100
17,4035,1.74980057982641e+100
18,4035,1.74980057982641e+100
19,4035,1.74980057982641e+100
19,4035,1.74980057982641e+100
19,4035,1.74980057982641e+100
20,4035,1.74980057982641e+100
20,4035,1.74980057982641e+100
2,4039,1.74980057982641e+100
3,4039,1
3,4039,1.74980057982641e+100
4,4039,1.74980057982641e+100
4,4039,1.74980057982641e+100
5,4039,1.74980057982641e+100
6,4039,1
6,4039,1.74980057982641e+100
6,4039,1.74980057982641e+100
7,4039,1.74980057982641e+100
7,4039,1.74980057982641e+100
8,4039,1.74980057982641e+100
8,4039,1.74980057982641e+100
9,4039,1.74980057982641e+100
9,4039,1.74980057982641e+100
9,4039,1.74980057982641e+100
10,4039,1.74980057982641e+100
10,4039,1.74980057982641e+100
11,4039,1.74980057982641e+100
11,4039,1.74980057982641e+100
12,4039,1
12,4039,1.74980057982641e+100
12,4039,1.74980057982641e+100
13,4039,1.74980057982641e+100
13,4039,1.74980057982641e+100
14,4039,1.74980057982641e+100
14,4039,1.74980057982641e+100
17,4039,1.74980057982641e+100
17,4039,1.74980057982641e+100
17,4039,1.74980057982641e+100
18,4039,1.74980057982641e+100
18,4039,1.74980057982641e+100
19,4039,1.74980057982641e+100
19,4039,1.74980057982641e+100
20,4039,1.74980057982641e+100
20,4039,1.74980057982641e+100
20,4039,1.74980057982641e+100
1,4042,5
1,4042,1.74980057982641e+100
1,4042,1.74980057982641e+100
2,4042,5
3,4042,1.74980057982641e+100
3,4042,1.74980057982641e+100
3,4042,1.74980057982641e+100
4,4042,1.74980057982641e+100
5,4042,1.74980057982641e+100
5,4042,1.74980057982641e+100
6,4042,5
6,4042,1.74980057982641e+100
9,4042,5
9,4042,1.74980057982641e+100
9,4042,1.74980057982641e+100
10,4042,5
10,4042,5
10,4042,1.74980057982641e+100
10,4042,1.74980057982641e+100
10,4042,1.74980057982641e+100
10,4042,1.74980057982641e+100
10,4042,3
13,4042,5
13,4042,1.74980057982641e+100
15,4042,5
15,4042,1.74980057982641e+100
16,4042,5
16,4042,1.74980057982641e+100
17,4042,5
17,4042,1.74980057982641e+100
18,4042,5
18,4042,1.74980057982641e+100
18,4042,1.74980057982641e+100
19,4042,3
19,4042,1.74980057982641e+100
19,4042,3
19,4042,1.74980057982641e+100
19,4042,1.74980057982641e+100
20,4042,5
20,4042,1.74980057982641e+100
1,4044,1
1,4044,1
1,4044,1.74980057982641e+100
2,4044,1.74980057982641e+100
5,4044,1
5,4044,1
6,4044,3
6,4044,1.74980057982641e+100
8,4044,1
8,4044,1
9,4044,1.74980057982641e+100
10,4044,1
10,4044,1.74980057982641e+100
11,4044,1
11,4044,1
11,4044,1.74980057982641e+100
12,4044,3
12,4044,1
12,4044,3
13,4044,1
14,4044,3
15,4044,1
16,4044,1
17,4044,3
17,4044,1.74980057982641e+100
18,4044,3
18,4044,1.74980057982641e+100
19,4044,3
19,4044,1.74980057982641e+100
19,4044,1.74980057982641e+100
20,4044,1
20,4044,1.74980057982641e+100
1,4049,1
1,4049,1.74980057982641e+100
1,4049,1.74980057982641e+100
1,4049,1.74980057982641e+100
1,4049,1.74980057982641e+100
2,4049,1.74980057982641e+100
2,4049,1.74980057982641e+100
3,4049,1.74980057982641e+100
3,4049,1.74980057982641e+100
4,4049,1
4,4049,1.74980057982641e+100
4,4049,1.74980057982641e+100
4,4049,1.74980057982641e+100
4,4049,1.74980057982641e+100
5,4049,1.74980057982641e+100
6,4049,2
6,4049,1.74980057982641e+100
6,4049,1.74980057982641e+100
7,4049,1
7,4049,1.74980057982641e+100
8,4049,1
