nh,clust,Doing_same_work,Father_do_same_work,Work_for_whom
5,4425,1,2,9
7,4425,1,1,1
8,4425,1,1,1
9,4425,1,1,1
10,4425,1,2,9
12,4425,1,2,9
13,4425,1,1,1
14,4425,1,1,1
15,4425,1,1,1
18,4425,1,2,9
19,4425,1,2,9
1,4429,1,1,1
7,4429,1,1,1
8,4429,1,1,1
5,4433,1,1,9
7,4433,1,1,9
9,4433,1,1,1
10,4433,1,2,9
12,4433,1,2,9
13,4433,1,1,9
14,4433,1,1,1
16,4433,1,1,1
18,4433,1,1,1
1,4435,1,1,8
3,4435,1,2,9
9,4435,1,2,9
15,4435,1,2,1
16,4435,1,2,7
17,4435,2,2,9
20,4435,1,2,7
21,4435,1,1,9
22,4435,1,2,9
23,4435,1,1,1
1,4439,1,1,1
7,4439,1,1,1
12,4439,1,1,1
18,4439,1,1,1
21,4439,1,1,1
4,4442,1,1,1
6,4442,1,2,9
11,4442,1,1,1
13,4442,1,2,9
14,4442,2,1,1
15,4442,1,2,1
18,4442,1,1,9
20,4442,1,1,1
21,4442,1,1,1
24,4442,1,1,1
1,4445,1,2,9
2,4445,1,2,9
15,4445,1,2,9
17,4445,1,2,9
20,4445,2,2,7
1,4449,1,2,9
4,4449,1,1,1
7,4449,1,2,9
10,4449,1,2,9
11,4449,1,2,9
12,4449,1,1,1
13,4449,1,1,1
15,4449,1,2,9
16,4449,1,1,9
17,4449,1,2,9
20,4449,1,1,9
4,4452,1,1,1
5,4452,1,1,1
9,4452,1,1,1
10,4452,1,1,1
15,4452,1,2,9
22,4452,1,1,1
15,4455,1,2,9
9,4459,2,2,9
12,4459,1,1,1
13,4459,1,2,1
14,4459,1,2,9
15,4459,1,1,1
16,4459,1,1,1
10,4462,1,1,1
13,4462,1,1,1
18,4462,1,2,1
3,4465,1,1,1
12,4465,1,2,9
3,4472,1,1,9
6,4472,1,2,4
7,4472,1,1,1
8,4472,1,1,7
10,4472,1,2,7
14,4472,1,2,7
15,4472,1,2,5
17,4472,1,1,1
21,4472,1,2,8
1,4479,1,2,9
2,4479,1,1,1
3,4479,1,2,9
4,4479,1,2,9
8,4479,1,1,9
10,4479,1,1,1
11,4479,1,1,1
14,4479,1,2,7
15,4479,1,1,1
19,4479,1,2,9
1,4482,1,1,1
16,4482,1,1,1
17,4482,1,1,1
1,4485,1,2,9
3,4485,1,2,9
4,4485,1,1,1
5,4485,1,2,9
6,4485,1,2,9
8,4485,1,2,9
9,4485,1,1,9
11,4485,1,2,9
12,4485,1,2,1
15,4485,1,1,1
16,4485,1,2,1
17,4485,1,1,1
18,4485,2,1,1
4,4489,1,2,1
6,4489,2,2,8
11,4489,1,1,1
13,4489,1,1,1
14,4489,1,2,9
15,4489,1,2,1
20,4489,1,1,1
1,4492,1,1,1
2,4492,1,2,9
3,4492,1,1,1
5,4492,1,1,1
7,4492,1,1,1
8,4492,1,1,1
9,4492,1,1,1
11,4492,1,2,9
13,4492,1,2,9
14,4492,1,1,1
16,4492,2,2,2
17,4492,1,2,7
18,4492,1,2,9
19,4492,2,2,9
4,4495,1,1,1
17,4495,1,2,9
2,4499,1,1,1
3,4499,1,2,7
4,4499,1,1,1
8,4499,1,2,7
10,4499,1,2,9
12,4499,1,2,9
14,4499,1,2,9
15,4499,1,2,9
16,4499,1,1,1
2,4502,1,1,1
13,4502,1,2,7
15,4502,1,1,1
16,4502,1,1,1
17,4502,1,1,1
18,4502,2,2,9
2,4505,1,2,9
5,4505,1,2,9
8,4505,1,1,1
10,4505,1,2,9
12,4505,1,1,1
15,4505,2,1,9
17,4505,1,2,9
20,4505,1,1,9
25,4505,1,1,1
2,4509,2,2,9
3,4509,1,2,9
