nh,clust,Source_of_loan
7,4442,11
8,4442,11
17,4442,1.74980057982641e+100
18,4442,11
20,4442,11
21,4442,11
3,4445,1.74980057982641e+100
1,4449,1.74980057982641e+100
5,4449,9
15,4449,11
17,4449,11
18,4449,11
19,4449,11
20,4449,11
4,4452,11
6,4452,9
9,4452,8
11,4452,11
14,4452,11
16,4452,11
18,4452,8
18,4452,8
1,4455,1.74980057982641e+100
2,4455,11
6,4455,11
7,4455,9
7,4455,9
9,4455,11
13,4455,11
14,4455,1.74980057982641e+100
17,4455,11
19,4455,1.74980057982641e+100
20,4455,1.74980057982641e+100
1,4459,9
2,4459,9
3,4459,11
4,4459,11
5,4459,11
8,4459,1.74980057982641e+100
10,4459,11
12,4459,11
13,4459,2
15,4459,2
17,4459,9
18,4459,11
18,4459,11
20,4459,9
1,4462,11
3,4462,10
4,4462,10
6,4462,9
7,4462,10
8,4462,11
13,4462,1
13,4462,11
19,4462,10
10,4465,10
11,4465,11
1,4469,9
4,4469,9
8,4469,11
12,4469,11
13,4469,1
14,4469,1
18,4469,1
1,4472,11
2,4472,11
3,4472,8
4,4472,11
4,4472,9
6,4472,11
7,4472,11
9,4472,9
13,4472,1.74980057982641e+100
14,4472,11
17,4472,11
17,4472,9
17,4472,9
1,4475,1.74980057982641e+100
2,4475,1.74980057982641e+100
3,4475,6
4,4475,1.74980057982641e+100
6,4475,1.74980057982641e+100
7,4475,11
8,4475,1.74980057982641e+100
9,4475,1.74980057982641e+100
10,4475,1.74980057982641e+100
11,4475,1.74980057982641e+100
12,4475,1.74980057982641e+100
13,4475,1.74980057982641e+100
14,4475,1.74980057982641e+100
15,4475,1.74980057982641e+100
16,4475,1.74980057982641e+100
17,4475,11
18,4475,1.74980057982641e+100
19,4475,1.74980057982641e+100
1,4479,11
3,4479,11
5,4479,9
7,4479,11
7,4479,11
7,4479,11
8,4479,1
8,4479,12
8,4479,6
14,4479,11
14,4479,11
14,4479,11
15,4479,9
15,4479,11
16,4479,11
17,4479,11
19,4479,9
20,4479,11
20,4479,11
20,4479,11
4,4482,11
4,4482,11
5,4482,11
7,4482,11
12,4482,11
12,4482,11
13,4482,11
14,4482,11
14,4482,11
15,4482,11
16,4482,11
17,4482,1
18,4482,11
19,4482,11
18,4485,3
1,4489,9
2,4489,11
4,4489,11
8,4489,11
8,4489,11
11,4489,11
11,4489,11
12,4489,11
12,4489,11
13,4489,11
13,4489,11
13,4489,11
14,4489,9
15,4489,11
16,4489,12
17,4489,11
18,4489,11
