nh,clust,Honey
5,4345,0
6,4345,0
7,4345,0
8,4345,0
9,4345,0
10,4345,0
11,4345,0
12,4345,0
13,4345,0
14,4345,0
15,4345,0
16,4345,0
17,4345,0
18,4345,0
19,4345,0
20,4345,0
1,4349,0
3,4349,0
2,4352,0
3,4352,0
4,4352,0
6,4352,0
7,4352,0
8,4352,0
9,4352,0
10,4352,0
11,4352,0
12,4352,0
13,4352,0
15,4352,0
16,4352,0
17,4352,0
18,4352,0
19,4352,0
1,4355,0
2,4355,0
3,4355,0
4,4355,0
5,4355,0
6,4355,0
7,4355,0
8,4355,0
9,4355,0
10,4355,0
12,4355,0
13,4355,0
14,4355,0
15,4355,0
16,4355,0
17,4355,0
18,4355,0
19,4355,0
20,4355,0
1,4359,0
2,4359,0
3,4359,0
4,4359,0
7,4359,0
8,4359,0
9,4359,0
10,4359,0
11,4359,0
12,4359,0
13,4359,0
14,4359,0
15,4359,0
16,4359,0
17,4359,0
18,4359,0
19,4359,0
20,4359,0
21,4359,0
22,4359,0
2,4362,0
3,4362,0
4,4362,0
5,4362,0
6,4362,0
7,4362,0
9,4362,0
15,4362,0
16,4362,0
18,4362,0
19,4362,0
20,4362,0
22,4362,0
25,4362,0
1,4365,0
2,4365,0
3,4365,0
4,4365,0
5,4365,0
6,4365,0
7,4365,50000
8,4365,0
9,4365,0
10,4365,0
11,4365,0
12,4365,0
13,4365,0
14,4365,0
15,4365,0
16,4365,0
17,4365,0
18,4365,0
19,4365,0
20,4365,0
1,4369,0
3,4369,0
5,4369,0
6,4369,0
7,4369,0
8,4369,0
9,4369,0
10,4369,0
13,4369,0
14,4369,0
15,4369,0
16,4369,0
17,4369,0
18,4369,0
19,4369,0
21,4369,0
22,4369,0
23,4369,0
24,4369,0
1,4372,0
2,4372,0
3,4372,0
4,4372,0
5,4372,0
6,4372,0
7,4372,0
8,4372,0
9,4372,0
10,4372,0
11,4372,0
12,4372,0
13,4372,0
14,4372,0
16,4372,0
17,4372,0
18,4372,8000
19,4372,0
20,4372,0
21,4372,0
1,4375,0
2,4375,0
3,4375,0
4,4375,0
5,4375,0
6,4375,0
7,4375,0
8,4375,0
9,4375,0
10,4375,0
11,4375,0
12,4375,0
13,4375,0
14,4375,0
15,4375,0
16,4375,0
17,4375,0
18,4375,0
19,4375,0
