nh,clust,Amount_withdrawn_from_savings
20,4199,0
3,4202,0
9,4202,0
10,4202,0
11,4202,0
13,4202,0
15,4202,0
18,4202,0
1,4205,0
8,4205,640000
8,4205,2e+05
14,4205,20000
17,4205,0
19,4205,0
2,4209,180000
6,4209,350000
6,4209,250000
7,4209,0
8,4209,2250000
8,4209,9e+05
9,4209,0
13,4209,0
17,4209,0
18,4209,0
19,4209,0
1,4212,3e+06
6,4212,0
8,4212,0
9,4212,5e+06
12,4212,0
13,4212,0
13,4212,1e+06
15,4212,6e+05
16,4212,0
17,4212,0
1,4215,1500000
3,4215,4e+05
7,4215,6e+05
9,4215,6e+05
15,4215,1e+06
16,4215,7e+05
16,4215,5e+05
18,4215,3e+05
1,4219,0
3,4219,845000
6,4219,1700000
7,4219,7e+05
8,4219,4e+05
10,4219,2e+05
11,4219,0
14,4219,0
16,4219,4e+05
17,4219,0
17,4219,350000
17,4219,5e+05
9,4222,2e+06
8,4225,180000
8,4225,1200000
10,4225,5e+06
10,4225,2e+06
17,4225,6e+06
17,4225,2500000
19,4225,1500000
19,4225,1e+06
3,4232,0
3,4232,0
4,4232,1e+05
6,4232,2e+05
8,4232,40000
10,4232,0
13,4232,2e+05
16,4232,0
16,4232,3e+05
1,4235,7e+05
1,4235,2e+05
7,4235,8e+05
10,4235,1500000
3,4239,3e+05
4,4239,2e+06
5,4239,8e+05
8,4239,2e+06
10,4239,4e+05
12,4239,8e+05
14,4239,8e+05
1,4242,0
1,4242,0
2,4242,1e+05
3,4242,1350000
5,4242,3e+07
6,4242,180000
7,4242,2e+05
8,4242,0
8,4242,0
10,4242,0
12,4242,0
14,4242,3e+06
15,4242,0
16,4242,0
19,4242,11700000
20,4242,480000
3,4245,720000
3,4245,1e+06
8,4245,1300000
9,4245,720000
15,4245,0
18,4245,0
20,4245,1e+05
22,4245,0
25,4245,5e+05
4,4249,0
15,4249,332000
17,4249,319000
17,4249,0
17,4249,1700000
18,4249,0
20,4249,240000
3,4252,430000
7,4252,360000
14,4255,0
15,4255,0
1,4259,0
3,4259,1.74980057982641e+100
4,4259,0
5,4259,0
11,4259,150000
12,4259,0
14,4259,5e+05
17,4259,0
18,4259,1.74980057982641e+100
19,4259,0
20,4259,1.74980057982641e+100
2,4262,1400000
5,4262,275000
7,4262,0
8,4262,1e+05
11,4262,550000
14,4262,150000
18,4262,40
19,4262,8e+05
19,4262,120000
21,4262,50000
21,4262,5e+05
22,4262,190000
2,4265,1100000
3,4265,350000
9,4265,2e+05
11,4265,6e+05
14,4265,3e+05
1,4269,0
6,4269,0
6,4269,0
10,4269,7e+05
17,4269,0
20,4269,150000
1,4272,0
2,4272,5e+05
7,4272,2e+05
8,4272,448000
11,4272,140000
15,4272,2e+05
16,4272,2e+05
17,4272,4e+05
18,4272,1e+05
20,4272,720000
4,4275,2e+06
10,4275,4e+05
13,4275,0
14,4275,0
15,4275,2e+05
6,4279,0
7,4279,171500
10,4279,0
11,4279,0
12,4279,690000
17,4279,1e+06
1,4282,0
3,4282,6e+05
9,4282,0
11,4282,0
12,4282,0
13,4282,0
13,4282,0
14,4282,0
16,4282,0
20,4282,0
2,4285,4e+06
3,4285,0
3,4285,0
4,4285,7e+05
5,4285,350000
6,4285,5e+05
6,4285,6e+05
11,4285,0
12,4285,4e+05
13,4285,20000
14,4285,0
1,4289,150000
2,4289,8e+05
3,4289,1500000
4,4289,1800000
5,4289,4800000
6,4289,3600000
7,4289,2e+05
8,4289,0
11,4289,0
15,4289,2400000
16,4289,150000
17,4289,250000
19,4289,0
20,4289,120000
2,4292,40000
2,4292,0
3,4292,0
4,4292,0
12,4292,0
13,4292,0
17,4292,5e+05
17,4292,0
19,4292,6e+06
20,4292,0
22,4292,0
2,4295,0
3,4295,1080000
3,4295,3e+05
4,4295,0
6,4295,650000
7,4295,1e+05
8,4295,0
8,4295,0
9,4295,0
11,4295,0
19,4295,5e+05
4,4299,0
5,4299,0
7,4299,0
9,4299,0
9,4299,290000
9,4299,0
10,4299,0
11,4299,1e+05
12,4299,0
13,4299,0
15,4299,50000
17,4299,80000
18,4299,0
19,4299,1e+05
20,4299,0
3,4302,0
3,4302,0
8,4302,0
9,4302,0
13,4302,0
14,4302,0
19,4302,0
1,4305,0
4,4305,0
5,4305,0
8,4305,1e+05
8,4305,0
9,4305,0
11,4305,2e+05
19,4305,6e+05
19,4305,650000
20,4305,0
9,4309,2e+05
10,4309,2e+06
12,4309,3e+05
13,4309,0
18,4309,950000
20,4309,1.74980057982641e+100
2,4312,50000
3,4312,4e+05
3,4312,0
4,4312,8e+05
8,4312,1e+07
8,4312,2e+06
14,4312,2e+06
16,4312,4e+05
16,4312,50000
20,4312,3e+05
20,4312,4e+05
22,4312,3e+05
2,4315,0
2,4315,550000
3,4315,240000
6,4315,5e+05
7,4315,0
10,4315,5e+05
10,4315,1e+06
11,4315,50000
2,4319,140000
11,4319,4e+05
12,4319,80000
13,4322,2e+06
1,4325,0
4,4325,9e+05
6,4325,0
7,4325,20000
8,4325,0
15,4325,3e+06
16,4325,0
3,4329,335000
18,4329,339000
8,4332,5e+05
10,4332,5e+05
12,4332,4e+05
15,4332,5e+05
18,4332,70000
3,4335,1700000
7,4335,0
8,4335,12000
8,4335,50000
9,4335,3e+05
9,4335,5e+05
10,4335,5e+05
11,4335,30000
11,4335,0
14,4335,5e+05
15,4335,90000
18,4335,8e+05
19,4335,2e+05
