nh,clust,Harvest_processed_by_HH,Unit_of_measure
15,4079,0.5,5
16,4079,100,25
16,4079,2,9
16,4079,3.5,5
16,4079,1.25,5
16,4079,6,5
17,4079,0.25,5
17,4079,4,5
17,4079,44,9
17,4079,3,9
17,4079,2.75,5
18,4079,0,0
18,4079,8,5
18,4079,1.25,5
18,4079,1,9
18,4079,0.5,5
19,4079,0.5,8
19,4079,7.75,5
19,4079,0.75,5
19,4079,1,7
19,4079,0.5,8
19,4079,5,5
20,4079,0,0
20,4079,0.25,5
20,4079,5,5
20,4079,15,5
20,4079,176,9
20,4079,88,9
20,4079,5,9
20,4079,22,9
20,4079,3.5,5
1,4081,0.95,5
1,4081,0.95,5
1,4081,0.95,5
2,4081,1.92,5
2,4081,1.88,5
3,4081,0.92,5
3,4081,0.96,5
4,4081,5.94,5
5,4081,2.47,5
6,4081,3.88,5
7,4081,2.38,5
7,4081,1.46,5
8,4081,5.92,5
9,4081,1.96,5
9,4081,0.98,5
10,4081,3.95,5
11,4081,0.94,5
12,4081,4.88,5
12,4081,0,0
13,4081,1.9,5
13,4081,0.94,5
13,4081,0,0
13,4081,0,0
14,4081,2.84,5
15,4081,3.95,5
15,4081,0.95,5
16,4081,1.74980057982641e+100,1.74980057982641e+100
16,4081,1.46,5
18,4081,0.97,5
18,4081,0.98,5
19,4081,1.44,5
19,4081,1,5
20,4081,2,5
11,4084,7,5
11,4084,6,7
11,4084,0,0
11,4084,0,0
11,4084,1,5
11,4084,0,0
2,4089,500,18
2,4089,4,4
3,4089,100,18
3,4089,1.5,4
5,4089,100,18
5,4089,14,8
7,4089,1.98,4
7,4089,5,8
9,4089,70,18
9,4089,3.75,4
10,4089,110,18
10,4089,0.67,4
10,4089,2,4
12,4089,80,18
12,4089,1,4
13,4089,0.5,4
15,4089,80,18
15,4089,0.97,4
16,4089,35,18
17,4089,100,18
17,4089,3.97,4
18,4089,80,18
18,4089,1,8
18,4089,1,8
19,4089,100,18
19,4089,0.5,4
1,4092,1,5
2,4092,0.5,5
3,4092,2,5
4,4092,2,5
5,4092,0.5,5
6,4092,1,4
7,4092,1,5
8,4092,2,5
9,4092,1,4
10,4092,0,5
11,4092,0.5,5
12,4092,1,4
13,4092,2,5
14,4092,1,4
15,4092,6,7
16,4092,3,7
17,4092,8,7
18,4092,1.5,5
19,4092,1,4
20,4092,1,5
1,4095,1,4
2,4095,10,8
3,4095,1,4
4,4095,2,8
4,4095,1.5,4
5,4095,35,8
6,4095,1,5
7,4095,2,5
8,4095,1,5
9,4095,1,4
9,4095,1,4
10,4095,0.5,8
10,4095,1,5
11,4095,0.5,4
12,4095,6,5
13,4095,9,8
13,4095,9,4
14,4095,2,4
15,4095,3,4
16,4095,2,4
17,4095,3,5
18,4095,2.5,4
19,4095,1,4
20,4095,1.85,5
1,4099,5,5
2,4099,1.5,5
3,4099,2,5
5,4099,5,5
6,4099,0,12
6,4099,3,5
7,4099,4,5
8,4099,1,5
9,4099,3,5
10,4099,6,5
11,4099,0,2
11,4099,8,5
12,4099,20,5
13,4099,0.5,5
13,4099,4,5
14,4099,8,5
15,4099,0,2
15,4099,15,5
16,4099,4,5
16,4099,2,5
16,4099,2,5
17,4099,6,5
18,4099,8,5
19,4099,0.5,5
19,4099,4,5
20,4099,12,5
6,4102,0,0
6,4102,0,0
6,4102,0,0
12,4102,0,0
17,4102,120,18
2,4105,1,4
20,4105,0,0
21,4105,20,8
22,4105,10,7
20,4109,0,0
2,4112,0,0
3,4112,5,8
4,4112,0,0
4,4112,0,0
5,4112,0,0
5,4112,300,19
5,4112,0,0
5,4112,12,8
6,4112,50,19
6,4112,1.1,4
7,4112,200,19
7,4112,0,0
7,4112,6,8
9,4112,0,0
9,4112,0,0
9,4112,0,0
9,4112,1.05,8
10,4112,300,19
10,4112,0,0
10,4112,6,8
11,4112,99,19
11,4112,0,0
11,4112,27,8
11,4112,4.05,7
12,4112,0,0
12,4112,9,8
13,4112,0,0
14,4112,0,0
14,4112,4.75,8
16,4112,0,0
16,4112,0,0
16,4112,2,8
17,4112,150,19
17,4112,0,0
19,4112,600.19,0
19,4112,6,8
20,4112,200,19
20,4112,4.05,8
2,4115,0,0
2,4115,0,0
2,4115,3,8
3,4115,1.05,8
3,4115,0,0
5,4115,0,0
5,4115,4,8
5,4115,5,22
6,4115,0,0
6,4115,0,0
6,4115,4,8
9,4115,0,0
11,4115,0,0
11,4115,4,8
11,4115,1,8
12,4115,0,0
12,4115,0,0
12,4115,2,8
12,4115,2,8
13,4115,1.05,8
14,4115,0,0
14,4115,3,8
16,4115,3,22
16,4115,2,22
17,4115,2,8
17,4115,3,22
18,4115,0,0
18,4115,1,8
18,4115,1,8
18,4115,5,22
19,4115,0,0
19,4115,1,8
20,4115,0,0
20,4115,3,8
20,4115,4,22
6,4119,0.94,5
9,4119,1.74980057982641e+100,1.74980057982641e+100
13,4119,3,4
14,4119,1.74980057982641e+100,1.74980057982641e+100
17,4119,0,0
17,4119,1,4
20,4119,1.74980057982641e+100,1.74980057982641e+100
20,4119,7,9
4,4122,0,0
4,4122,10,9
5,4122,20,9
7,4122,8,9
9,4122,15,9
20,4122,18,9
1,4125,0,0
2,4125,0,0
2,4125,3,8
2,4125,0,0
3,4125,0,0
4,4125,0,0
4,4125,16,8
5,4125,0,0
6,4125,0,0
10,4125,6,8
11,4125,8,8
12,4125,0,0
13,4125,6,8
14,4125,0,0
14,4125,4,8
16,4125,0,0
17,4125,2,8
19,4125,0,0
19,4125,14,8
20,4125,0,0
1,4129,0,0
1,4129,0,0
1,4129,0,0
1,4129,0,0
1,4129,0,0
1,4129,0,0
1,4129,0,0
2,4129,0,0
2,4129,0,0
2,4129,0,0
3,4129,0,0
3,4129,0,0
4,4129,0,0
4,4129,0,0
4,4129,2,8
5,4129,0,0
5,4129,0,0
5,4129,0,0
6,4129,0,0
7,4129,0,0
7,4129,0,0
7,4129,0,0
8,4129,0,0
8,4129,0,0
8,4129,0,0
8,4129,1,5
9,4129,0,0
9,4129,0,0
9,4129,5,22
10,4129,1,8
10,4129,1,8
10,4129,0,0
11,4129,0,0
11,4129,0,0
11,4129,3,8
11,4129,0,0
12,4129,0,0
13,4129,0,0
13,4129,0.5,8
13,4129,1,8
14,4129,0,0
14,4129,0.5,8
14,4129,0,0
14,4129,1,22
15,4129,0,0
15,4129,1,8
15,4129,0,0
15,4129,0,0
15,4129,0,0
15,4129,0,0
16,4129,0,0
16,4129,1,8
16,4129,2,8
17,4129,0,0
17,4129,0,0
17,4129,0,0
17,4129,0,0
17,4129,1,12
17,4129,1,4
17,4129,0,0
18,4129,0,0
19,4129,0,0
19,4129,5,8
20,4129,0,0
20,4129,2,8
20,4129,6,8
20,4129,1,22
1,4132,1,4
1,4132,1,4
2,4132,3,4
3,4132,2,4
4,4132,1.5,5
5,4132,1.5,5
6,4132,1,4
7,4132,1.5,5
8,4132,0.5,5
9,4132,2,4
10,4132,1,4
11,4132,1,5
12,4132,1,4
13,4132,1,4
14,4132,1,4
14,4132,2.25,4
16,4132,1,4
17,4132,1,4
18,4132,2,8
19,4132,0.25,4
20,4132,4,4
2,4134,3,4
4,4134,0.75,5
4,4134,10,9
5,4134,0.5,4
5,4134,2,5
6,4134,1,4
6,4134,2.5,5
7,4134,10,9
7,4134,2,4
8,4134,5,9
8,4134,10,9
9,4134,0,0
9,4134,1,4
11,4134,1,4
11,4134,2,4
12,4134,3.5,4
13,4134,1,4
13,4134,2,4
14,4134,1,4
15,4134,1,4
15,4134,2,5
16,4134,0.5,4
16,4134,1,4
17,4134,1,5
17,4134,10,9
18,4134,1.5,5
18,4134,1,5
20,4134,0.5,4
20,4134,1,4
2,4139,0,0
2,4139,1.9,4
2,4139,0,0
3,4139,0,0
3,4139,1.75,8
3,4139,0,0
4,4139,0.88,8
5,4139,1.75,8
6,4139,0,0
8,4139,7,8
10,4139,0,0
10,4139,5,8
10,4139,0.2,4
11,4139,9.75,8
13,4139,0,0
13,4139,4,4
15,4139,0,0
15,4139,2.9,4
15,4139,0.9,4
15,4139,0,0
16,4139,0,0
16,4139,3,4
16,4139,0,0
17,4139,0.5,4
18,4139,0,0
18,4139,3,8
18,4139,0,0
20,4139,50,19
20,4139,1.9,4
20,4139,0.57,8
10,4142,2,4
10,4142,0.25,7
1,4149,0,0
1,4149,120,12
1,4149,0.97,5
3,4149,70,12
3,4149,28.5,9
7,4149,0,0
7,4149,50,12
8,4149,50,12
8,4149,1,4
10,4149,0,0
10,4149,30,12
10,4149,1,9
11,4149,0,0
11,4149,50,12
11,4149,2,5
13,4149,50,12
13,4149,1,4
15,4149,100,12
15,4149,0.5,5
17,4149,0,0
17,4149,150,12
17,4149,1,5
18,4149,0,0
18,4149,50,12
18,4149,5,7
19,4149,50,12
19,4149,4,9
19,4149,4,22
20,4149,0,0
20,4149,0,0
20,4149,0.67,5
20,4149,0,0
23,4149,0,0
23,4149,40,12
23,4149,1,5
24,4149,0,0
24,4149,50,12
24,4149,1,5
1,4152,0,0
2,4152,108,9
3,4152,72,9
5,4152,18,9
7,4152,36,9
8,4152,72,9
9,4152,54,9
9,4152,0,0
10,4152,2,5
12,4152,36,9
12,4152,0,0
17,4152,54,9
19,4152,180,9
20,4152,72,9
21,4152,112,9
23,4152,25,9
9,4155,1,7
12,4155,6,8
15,4155,2,5
15,4155,4,8
16,4155,1,4
2,4159,2.3,5
7,4159,1,4
8,4159,1,5
9,4159,2,5
13,4159,0.8,5
15,4159,1,4
15,4159,4,9
17,4159,0.8,5
12,4162,0,17
12,4162,0,7
6,4169,0.4,5
10,4172,0.5,5
5,4175,2,5
10,4175,1.5,5
16,4175,3,5
19,4175,0.5,5
9,4182,0.09,5
1,4189,3.5,8
2,4189,2.5,8
3,4189,2.5,8
5,4189,0,0
5,4189,2,8
6,4189,9.5,8
7,4189,2,8
11,4189,0.65,4
18,4189,3,8
1,4192,0,0
1,4192,0,0
1,4192,0,0
1,4192,1.05,8
1,4192,2,8
1,4192,7.05,22
2,4192,0,0
2,4192,0,0
3,4192,0,0
3,4192,0,0
3,4192,0,0
3,4192,12,8
3,4192,0,0
4,4192,0,0
5,4192,0,0
5,4192,2.05,8
7,4192,0,0
7,4192,0,0
7,4192,1.05,8
8,4192,0,0
8,4192,0,0
8,4192,0,0
9,4192,1.05,8
10,4192,0,0
10,4192,18,8
11,4192,0,0
12,4192,0,0
12,4192,0,0
12,4192,15,8
13,4192,0,0
13,4192,0,0
13,4192,0,0
13,4192,10,8
13,4192,0,0
13,4192,0,0
14,4192,0,0
14,4192,0,0
14,4192,18,8
15,4192,0,0
15,4192,0,0
16,4192,0,0
16,4192,25,8
17,4192,0,0
17,4192,36,8
17,4192,0,0
18,4192,200,19
18,4192,0,0
18,4192,1.05,5
19,4192,0,0
19,4192,15,8
1,4199,0,0
1,4199,2,8
2,4199,0,0
2,4199,0,0
2,4199,15,8
3,4199,0,0
3,4199,4,8
4,4199,0,0
4,4199,4,8
5,4199,0,0
5,4199,0,0
5,4199,10,8
6,4199,0,0
6,4199,4,8
7,4199,0,0
7,4199,0,0
7,4199,0,0
7,4199,7,8
8,4199,0,0
8,4199,0,0
8,4199,12,8
9,4199,0,0
9,4199,0,0
9,4199,6,8
10,4199,0,0
10,4199,0,0
10,4199,20,8
11,4199,0,0
11,4199,0,0
11,4199,20,8
12,4199,0,0
12,4199,3,8
13,4199,0,0
13,4199,38,8
14,4199,0,0
14,4199,2,8
14,4199,0,0
16,4199,0,0
16,4199,0,0
16,4199,4,8
17,4199,0,0
17,4199,5,8
18,4199,0,0
18,4199,30,8
18,4199,6,8
19,4199,0,0
19,4199,50,8
20,4199,0,0
20,4199,30,8
2,4202,0,0
4,4202,0,0
4,4202,0.3,4
4,4202,5.75,8
5,4202,0,0
6,4202,0,0
6,4202,0.6,4
9,4202,0,0
9,4202,0,0
11,4202,0,0
1,4205,4,8
3,4205,0,0
3,4205,8,8
4,4205,0,0
4,4205,3.5,8
5,4205,0,0
5,4205,9,8
6,4205,0,0
6,4205,4,22
6,4205,0,0
6,4205,3,8
6,4205,6,22
7,4205,0,0
7,4205,3,8
8,4205,3,8
9,4205,0,0
9,4205,1,8
10,4205,0,0
10,4205,2,8
10,4205,0,0
11,4205,0,0
11,4205,0,0
11,4205,0,0
11,4205,0,0
12,4205,0,0
12,4205,0,0
12,4205,5,22
12,4205,0,0
12,4205,10,8
12,4205,5,22
12,4205,0,0
13,4205,1,8
14,4205,0,0
15,4205,0,0
15,4205,1.5,8
15,4205,2,22
16,4205,0,0
16,4205,1,8
17,4205,0,0
17,4205,0,0
17,4205,10.5,8
18,4205,9,8
20,4205,0,0
20,4205,3,8
20,4205,2,8
8,4209,0,0
9,4322,1,4
7,4329,1.74980057982641e+100,1.74980057982641e+100
9,4329,5.25,5
10,4329,1.74980057982641e+100,1.74980057982641e+100
14,4329,1.74980057982641e+100,1.74980057982641e+100
2,4332,1.5,5
2,4335,0.45,5
5,4335,0.98,5
9,4335,2.9,5
11,4335,0.47,5
15,4335,1.97,5
18,4335,0.49,5
19,4335,1.95,5
1,4339,12,9
2,4339,1.5,4
2,4339,0,0
6,4339,4,4
10,4339,2,5
11,4339,3,9
2,4342,0,0
2,4342,0.98,5
3,4342,1.42,5
8,4342,1.5,5
9,4342,0,0
9,4342,0.02,5
10,4342,0,0
10,4342,1,5
16,4342,0,0
