nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
4,4122,1,1,1
5,4122,1,1,1
6,4122,2,2,1
7,4122,1,1,2
8,4122,2,1,1
9,4122,1,1,2
10,4122,1,1,2
11,4122,1,1,2
12,4122,2,2,1
13,4122,2,2,2
14,4122,1,1,2
15,4122,2,1,1
16,4122,2,1,1
17,4122,1,1,2
18,4122,2,1,2
19,4122,1,2,2
20,4122,1,1,2
1,4125,1,2,2
2,4125,1,1,2
3,4125,1,2,2
4,4125,1,2,1
5,4125,1,2,2
6,4125,1,1,1
7,4125,2,2,1
8,4125,1,2,1
9,4125,1,2,2
10,4125,1,1,2
11,4125,1,2,1
12,4125,1,1,2
13,4125,1,1,2
14,4125,1,1,1
15,4125,2,2,2
16,4125,1,1,2
17,4125,1,1,1
18,4125,2,2,1
19,4125,1,1,2
20,4125,1,1,1
1,4129,1,1,1
2,4129,1,1,2
3,4129,1,1,1
4,4129,1,2,2
5,4129,1,2,2
6,4129,1,2,2
7,4129,1,2,1
8,4129,1,2,1
9,4129,1,2,1
10,4129,1,1,2
11,4129,1,2,2
12,4129,1,2,2
13,4129,1,2,2
14,4129,1,2,2
15,4129,1,1,1
16,4129,1,2,1
17,4129,1,1,2
18,4129,1,2,2
19,4129,1,2,2
20,4129,1,2,1
1,4132,1,1,2
2,4132,1,1,2
3,4132,1,1,1
4,4132,1,1,1
5,4132,1,1,2
6,4132,1,1,1
7,4132,1,1,1
8,4132,1,1,1
9,4132,1,1,1
10,4132,1,1,2
11,4132,1,1,1
12,4132,1,1,1
13,4132,1,1,2
14,4132,1,1,2
15,4132,2,1,1
16,4132,1,1,2
17,4132,1,1,2
18,4132,1,1,2
19,4132,1,1,2
20,4132,1,1,2
1,4134,1,2,2
2,4134,1,1,2
3,4134,2,1,1
4,4134,1,1,1
5,4134,1,1,1
6,4134,1,1,1
7,4134,1,1,1
8,4134,1,1,1
9,4134,1,1,1
10,4134,2,2,1
11,4134,1,1,1
12,4134,1,1,2
13,4134,1,1,1
14,4134,1,1,1
15,4134,1,1,1
16,4134,1,1,1
17,4134,1,1,1
18,4134,1,1,1
19,4134,2,2,2
