nh,clust,Processed_food_code,Sell_any_processed_food
13,4092,11,2
14,4092,1,2
15,4092,1,2
15,4092,8,2
15,4092,11,2
16,4092,1,2
17,4092,1,2
17,4092,11,2
18,4092,1,2
18,4092,11,2
19,4092,1,2
20,4092,1,2
20,4092,11,2
1,4095,1,2
1,4095,11,2
2,4095,1,2
2,4095,8,2
2,4095,11,2
3,4095,1,2
3,4095,8,2
3,4095,11,2
4,4095,1,2
4,4095,6,2
4,4095,8,2
4,4095,10,2
4,4095,11,2
5,4095,1,2
5,4095,8,2
5,4095,11,2
6,4095,1,2
6,4095,8,2
6,4095,11,2
7,4095,1,2
7,4095,11,2
8,4095,1,2
8,4095,10,2
8,4095,11,2
9,4095,1,2
9,4095,6,2
9,4095,11,2
10,4095,1,2
10,4095,5,2
10,4095,6,2
10,4095,8,2
10,4095,11,2
11,4095,1,2
11,4095,8,2
11,4095,11,2
12,4095,1,2
12,4095,8,2
12,4095,11,2
13,4095,1,2
13,4095,5,2
13,4095,6,2
13,4095,8,2
13,4095,11,2
14,4095,1,2
14,4095,11,2
15,4095,1,2
15,4095,8,2
15,4095,11,2
16,4095,1,2
16,4095,11,2
17,4095,1,2
17,4095,11,2
18,4095,1,2
18,4095,8,2
18,4095,11,2
19,4095,1,2
19,4095,8,2
19,4095,11,2
20,4095,1,2
20,4095,11,2
1,4099,1,2
1,4099,11,2
2,4099,1,2
2,4099,11,2
3,4099,1,2
3,4099,11,2
4,4099,11,2
5,4099,1,2
5,4099,11,2
6,4099,1,2
6,4099,11,2
7,4099,1,2
7,4099,11,2
8,4099,1,2
8,4099,11,2
9,4099,1,2
9,4099,11,2
10,4099,1,2
10,4099,11,2
11,4099,1,2
11,4099,11,2
12,4099,1,2
12,4099,11,2
13,4099,1,2
13,4099,11,2
14,4099,1,2
14,4099,11,2
15,4099,1,2
15,4099,11,2
16,4099,1,2
16,4099,11,2
17,4099,1,2
17,4099,11,2
18,4099,1,2
18,4099,11,2
19,4099,1,2
19,4099,11,2
20,4099,1,2
20,4099,11,2
17,4102,11,1
1,4105,7,1
2,4105,1,2
14,4105,1,1
21,4105,1,2
22,4105,11,2
4,4109,1,2
6,4109,1,2
10,4109,1,2
12,4109,1,2
20,4109,1,2
4,4112,1,2
6,4112,10,2
7,4112,10,1
9,4112,10,1
15,4112,10,2
19,4112,10,1
20,4112,10,2
2,4115,7,2
3,4115,7,2
5,4115,7,2
7,4115,7,2
10,4115,7,2
11,4115,6,2
11,4115,7,2
12,4115,6,2
12,4115,7,2
15,4115,7,2
16,4115,7,2
18,4115,6,2
19,4115,6,2
19,4115,7,2
19,4115,11,2
20,4115,6,2
20,4115,7,2
2,4119,10,1
4,4119,7,2
5,4119,7,2
6,4119,7,2
7,4119,7,2
8,4119,7,2
9,4119,7,2
13,4119,7,2
14,4119,7,2
15,4119,7,2
16,4119,7,2
18,4119,7,2
19,4119,7,2
20,4119,7,2
2,4122,1,2
4,4122,9,2
5,4122,1,2
6,4122,1,2
7,4122,1,2
8,4122,1,2
9,4122,9,2
10,4122,1,2
11,4122,9,1
14,4122,1,2
15,4122,10,1
16,4122,10,2
17,4122,1,2
18,4122,2,1
20,4122,1,2
2,4125,10,1
6,4125,10,2
10,4125,10,1
12,4125,10,2
13,4125,10,2
14,4125,10,2
16,4125,10,2
17,4125,10,2
17,4125,10,2
19,4125,10,2
20,4125,10,2
1,4129,8,2
1,4129,8,2
2,4129,8,2
3,4129,8,2
10,4129,8,2
