eanum,s1q4_1,s1q4_2,s1q4_3,s2q10_1,s2q14_1,s2q15_1,s2q17_1,s2q19_1,s2q20_1,s2q23_1,s2q27_1,s2q28_1,s2q28_2,s2q29_1,s2q29_2,s2q29_3,s2q29_4,s2q32_1,s2q33_1,s2q33_2,s2q33_3,s2q34a_1,s2q34a_2,s2q34a_3,s2q34a_4,s2q34a_6,s2q34a_7,s2q34b_1,s2q34b_2,s2q34b_3,s2q34b_4,s2q34b_5,s2q34b_6,s2q34b_7,s2q34b_8,s2q37_1,s2q37_2,s2q6_1,s2q8_1,s3q1_1,s3q11_1,s3q14_1,s3q15_1,s3q15_2,s3q16_1,s3q16_2,s3q16_3,s3q20_1,s3q23_1,s3q24_1,s3q24_2,s3q25_1,s3q25_2,s3q25_3,s3q29_1,s3q8_1,s3q8_2,s3q8_3,s3q8_4,s3q9_1,s3q9_2,s3q9_3,s3q9_4,s3q9_5,s5bq10_1,s5bq12_1,s5bq14_1,s5bq15_1,s5bq16_1,s5bq17_1,s5bq18_1,s5bq18_2,s5bq19_1,s5bq20_1,s5bq21_1,s5bq21_2,s5bq21_3,s5bq23_1,s5bq5_1,s5bq7_1,s1q1,s2q5,s2q16,s2q18,s2q22,s2q25,s3q2,s3q12,s3q21,s3q31a,s3q31b,s3q31c,s5bq6,s5bq13,clust,mean_profit_per_acre
102,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4924,0,0,0,15,0,0,0,4,0,0,0,0,0,4102,12409600
105,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4715,0,9,0,9,0,0,0,0,0,0,0,29,0,4105,-1781816.8530186948
112,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,28,0,4112,37962587.13917998
115,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1175,0,1,1,1,1,0,0,1,12,18,30,16,0,4115,3423893.333333333
119,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3896,0,0,0,22,0,0,0,0,0,0,0,16,0,4119,21523685.61111111
122,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1808,0,6,5,10,0,0,2,7,0,0,0,10,0,4122,7382743.773248357
125,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,2164,0,3,10,0,0,0,0,3,28,32,60,10,0,4125,-24059952.38095238
132,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1539,0,2,20,0,0,0,0,10,17,8,25,0,0,4132,47807401.242976025
134,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,25,0,0,0,14,0,0,0,3,0,0,0,9,0,4134,10927891.804846939
139,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,3739,0,0,0,0,0,0,0,0,0,0,0,10,0,4139,5010174.960934744
